"Age","Year","M_minus_F","MF_ratio"
"15+",1947,12178,2.19263539320341
"15+",1948,12894,2.37462686567164
"15+",1949,13046,2.44378043382027
"15+",1950,15032,2.69680550852241
"15+",1951,16430,2.82494723980895
"15+",1952,16566,2.70713107996702
"15+",1953,17270,2.76242473721808
"15+",1954,16935,2.75274270337404
"15+",1955,18724,2.99807918045033
"15+",1956,20201,3.13405873653074
"15+",1957,19758,3.06414542415378
"15+",1958,19927,3.18282396757586
"15+",1959,21358,3.26826677994902
"15+",1960,21355,3.23542342719565
"15+",1961,21826,3.27543786488741
"15+",1962,22501,3.25777643989565
"15+",1963,22993,3.28786069651741
"15+",1964,23110,3.20704803743673
"15+",1965,24925,3.30254041570439
"15+",1966,25386,3.23921672400106
"15+",1967,25180,3.08322991643915
"15+",1968,25580,2.96180688703121
"15+",1969,26565,3.0154009559214
"15+",1970,26120,2.98179059180577
"15+",1971,25373,2.86675985874044
"15+",1972,26586,2.86660113740083
"15+",1973,27129,2.88134535367545
"15+",1974,25179,2.74249134948097
"15+",1975,23690,2.61530069548616
"15+",1976,23967,2.63597269624573
"15+",1977,23823,2.56864423520116
"15+",1978,24764,2.68795583123168
"15+",1979,24465,2.70666201604465
"15+",1980,22543,2.54679566351036
"15+",1981,21694,2.46848981249577
"15+",1982,20581,2.36960138417515
"15+",1983,20347,2.31534035813563
"15+",1984,20522,2.27142060591041
"15+",1985,20664,2.26015367727772
"15+",1986,21223,2.24885253618924
"15+",1987,20490,2.14424526721394
"15+",1988,20886,2.12836304700162
"15+",1989,20500,2.06704143243806
"15+",1990,19449,2.0151894769809
"15+",1991,18344,1.95387655348136
"15+",1992,17448,1.90922355393434
"15+",1993,17569,1.91040522333921
"15+",1994,17549,1.89435327693405
"15+",1995,17432,1.85994770854916
"15+",1996,17936,1.85982742090125
"15+",1997,18338,1.8399212201713
"15+",1998,18962,1.83591959090108
"15+",1999,18454,1.78337649106423
"15+",2000,18282,1.76452139003889
"15+",2001,18075,1.75159050272361
"15+",2002,17708,1.73912680524251
"15+",2003,17657,1.73420932263296
"15+",2004,17433,1.72728410513141
"15+",2005,16665,1.68363621446445
"15+",2006,15572,1.61210691823899
"15+",2007,15171,1.58663624763157
"15+",2008,14633,1.58911389347397
"15+",2009,13410,1.53569288539128
"15+",2010,13431,1.55015770286323
"15+",2011,13538,1.56316818503266
"15+",2012,13815,1.57545715832882
"15+",2013,14845,1.61035276704218
"15+",2014,15200,1.63225323405848
"15+",2015,14427,1.56247806932044
"15+",2016,14891,1.5615219276745
"15+",2017,15550,1.58502633559067
"15+",2018,14799,1.53677910772579
"15+",2019,14903,1.50678409902404
"15-24",1974,4412,1.53105440539239
"15-24",1975,4167,1.51047409040794
"15-24",1976,3946,1.47969851689764
"15-24",1977,3653,1.41412538260968
"15-24",1978,3858,1.41430412371134
"15-24",1979,4720,1.50758146037208
"15-24",1980,4363,1.47147179598012
"15-24",1981,2912,1.53895983712752
"15-24",1982,2744,1.32071061243572
"15-24",1983,2024,1.23915869077159
"15-24",1984,2585,1.30476302758783
"15-24",1985,2736,1.31762247504063
"15-24",1986,2766,1.30627837448788
"15-24",1987,2265,1.23802017654477
"15-24",1988,2829,1.30272873194222
"15-24",1989,3143,1.33224101479915
"15-24",1990,2696,1.28908428050611
"15-24",1991,1990,1.20859538784067
"15-24",1992,2019,1.21803455723542
"15-24",1993,1883,1.20141191571291
"15-24",1994,2636,1.27965202631021
"15-24",1995,2678,1.30178048230787
"15-24",1996,1756,1.18343257077196
"15-24",1997,1794,1.17753587333003
"15-24",1998,2603,1.25340732087227
"15-24",1999,2574,1.25041346434478
"15-24",2000,3254,1.29697910011865
"15-24",2001,2654,1.24553612730132
"15-24",2002,2935,1.27163350300787
"15-24",2003,3520,1.33976833976834
"15-24",2004,3228,1.30886996459669
"15-24",2005,2952,1.27366274218967
"15-24",2006,2937,1.26702427493408
"15-24",2007,2781,1.25112877009211
"15-24",2008,2234,1.21085417649835
"15-24",2009,1297,1.12131699560378
"15-24",2010,1422,1.13913894324853
"15-24",2011,1607,1.15489156626506
"15-24",2012,1437,1.1344498502994
"15-24",2013,2641,1.26286453667762
"15-24",2014,2119,1.20632911392405
"15-24",2015,1468,1.13154121863799
"15-24",2016,1712,1.14894727684009
"15-24",2017,2659,1.22794684954994
"15-24",2018,2294,1.17370892018779
"15-24",2019,1715,1.13666427603793
"25-34",1947,12389,2.01557504713501
"25-34",1948,12782,2.01921696834383
"25-34",1949,13479,2.08325966406815
"25-34",1950,14930,2.18529691965703
"25-34",1951,14345,2.02588857898877
"25-34",1952,16202,2.21354205677477
"25-34",1953,17363,2.2574594438007
"25-34",1954,17334,2.31457606552404
"25-34",1955,19118,2.42724897349757
"25-34",1956,21725,2.6754068018817
"25-34",1957,21178,2.54629088785047
"25-34",1958,21643,2.66843971631206
"25-34",1959,23252,2.74866511243138
"25-34",1960,23855,2.79428356525009
"25-34",1961,23880,2.71084682619286
"25-34",1962,25545,2.93904660695309
"25-34",1963,26472,2.94718646561236
"25-34",1964,26716,2.81580914837219
"25-34",1965,26689,2.66141683266932
"25-34",1966,28771,2.76899901623217
"25-34",1967,28073,2.59896337643105
"25-34",1968,28738,2.54463853802741
"25-34",1969,30750,2.65795007278805
"25-34",1970,29643,2.55999368487528
"25-34",1971,28320,2.41529235382309
"25-34",1972,29665,2.42257708722966
"25-34",1973,30666,2.43547254599073
"25-34",1974,27986,2.32227734467281
"25-34",1975,25931,2.18471308479532
"25-34",1976,25995,2.18116139585605
"25-34",1977,24891,2.0943985226873
"25-34",1978,27304,2.29667094077979
"25-34",1979,27412,2.31051297987283
"25-34",1980,25496,2.23431448489543
"25-34",1981,22991,2.11796742037442
"25-34",1982,21554,2.05921666912379
"25-34",1983,20323,1.97636319961566
"25-34",1984,20449,1.92642595025597
"25-34",1985,19956,1.88902748696931
"25-34",1986,19768,1.85861964122834
"25-34",1987,19317,1.81499451523078
"25-34",1988,19205,1.79702025232404
"25-34",1989,18238,1.74693860834664
"25-34",1990,16750,1.69937369519833
"25-34",1991,15844,1.66577023279267
"25-34",1992,14089,1.57706328077002
"25-34",1993,13871,1.56759963990507
"25-34",1994,13215,1.51880496231156
"25-34",1995,13456,1.51759818440589
"25-34",1996,14316,1.5368030297349
"25-34",1997,13303,1.4731301347939
"25-34",1998,15501,1.54010452961672
"25-34",1999,15498,1.52146702557201
"25-34",2000,13704,1.43732448302272
"25-34",2001,13081,1.42084097416594
"25-34",2002,12865,1.4170043110434
"25-34",2003,11941,1.38966845059392
"25-34",2004,12109,1.40444221776887
"25-34",2005,10953,1.36583166332665
"25-34",2006,10108,1.32888657512852
"25-34",2007,8641,1.27008189035444
"25-34",2008,9359,1.30769989479221
"25-34",2009,7977,1.26462977707006
"25-34",2010,7496,1.24955056927891
"25-34",2011,7813,1.26662799030816
"25-34",2012,8858,1.30338733431517
"25-34",2013,9578,1.3391763164418
"25-34",2014,10633,1.37457286786205
"25-34",2015,9065,1.29143224561968
"25-34",2016,8151,1.25083859055239
"25-34",2017,10402,1.32592824690584
"25-34",2018,9721,1.29746022031824
"25-34",2019,6721,1.18937195345299
"35-44",1947,15191,2.13594556195319
"35-44",1948,15925,2.28510329244674
"35-44",1949,15690,2.29819626013569
"35-44",1950,18090,2.48766447368421
"35-44",1951,17911,2.35167157195683
"35-44",1952,17954,2.3371564757578
"35-44",1953,19976,2.48465254552211
"35-44",1954,20565,2.56055547123995
"35-44",1955,22364,2.68963433061348
"35-44",1956,23389,2.63536568312124
"35-44",1957,23619,2.65980323260717
"35-44",1958,24119,2.7099610067352
"35-44",1959,26733,2.87890075906663
"35-44",1960,26477,2.71839304257529
"35-44",1961,27023,2.69721140560231
"35-44",1962,29006,2.87692506794357
"35-44",1963,29944,2.90580448065173
"35-44",1964,30647,2.87730474732006
"35-44",1965,30106,2.70292437355054
"35-44",1966,32633,2.820529986053
"35-44",1967,32214,2.69253401986024
"35-44",1968,33814,2.72011394851969
"35-44",1969,35907,2.79427343593844
"35-44",1970,35441,2.74354307079254
"35-44",1971,35760,2.74430515584606
"35-44",1972,39311,2.85735884715332
"35-44",1973,40848,2.92706515072888
"35-44",1974,38213,2.83108917533183
"35-44",1975,37372,2.83330880549424
"35-44",1976,37559,2.77735188339958
"35-44",1977,38791,2.8176748980835
"35-44",1978,38833,2.85528641727581
"35-44",1979,41032,3.11592409240924
"35-44",1980,40203,3.09926374601848
"35-44",1981,37220,2.86688067412349
"35-44",1982,35220,2.75748502994012
"35-44",1983,33244,2.532758541196
"35-44",1984,35265,2.5694259012016
"35-44",1985,34271,2.467897374395
"35-44",1986,33738,2.36552394058364
"35-44",1987,32484,2.25445066615177
"35-44",1988,33335,2.27524866105585
"35-44",1989,31206,2.13233426466853
"35-44",1990,29048,2.05269261433645
"35-44",1991,26023,1.93725913920403
"35-44",1992,25209,1.91290649670457
"35-44",1993,25330,1.91506809725082
"35-44",1994,24846,1.89680563075257
"35-44",1995,23434,1.8060676940011
"35-44",1996,22333,1.74376394578213
"35-44",1997,22537,1.75614829726556
"35-44",1998,23410,1.73410894038697
"35-44",1999,24223,1.76170560674193
"35-44",2000,23589,1.7177107737244
"35-44",2001,22971,1.70621329972023
"35-44",2002,22188,1.69751650424395
"35-44",2003,21909,1.66987708677307
"35-44",2004,21887,1.66107889331884
"35-44",2005,20379,1.61055186050692
"35-44",2006,20680,1.61701873731949
"35-44",2007,21403,1.62506936129202
"35-44",2008,20019,1.61445672191529
"35-44",2009,17117,1.51373090428884
"35-44",2010,15230,1.44277117190453
"35-44",2011,16941,1.51111781565847
"35-44",2012,16915,1.50439838974206
"35-44",2013,17550,1.52631578947368
"35-44",2014,16758,1.49895789912464
"35-44",2015,19666,1.57634370787175
"35-44",2016,19676,1.56009109023627
"35-44",2017,17925,1.48804726639076
"35-44",2018,17320,1.46045460587532
"35-44",2019,17129,1.42821429464263
"45-54",1947,13935,2.0734093360037
"45-54",1948,14112,2.15881097060273
"45-54",1949,14928,2.36129855918293
"45-54",1950,17189,2.48874068941625
"45-54",1951,16826,2.47170471442316
"45-54",1952,16160,2.21193940302985
"45-54",1953,17817,2.25005262050095
"45-54",1954,18150,2.33514785934971
"45-54",1955,20189,2.39890521064302
"45-54",1956,21099,2.46348061316501
"45-54",1957,21345,2.4718659495242
"45-54",1958,20316,2.38912820512821
"45-54",1959,21704,2.38657126429438
"45-54",1960,23317,2.4642677719166
"45-54",1961,24203,2.54110156001273
"45-54",1962,24959,2.48653960690887
"45-54",1963,25762,2.5218572778828
"45-54",1964,26485,2.52072806614607
"45-54",1965,27067,2.48556531284303
"45-54",1966,28791,2.50832984073764
"45-54",1967,28838,2.39468975189824
"45-54",1968,29320,2.3914198936978
"45-54",1969,31288,2.42237577851525
"45-54",1970,32264,2.48115502915117
"45-54",1971,32367,2.46317978391574
"45-54",1972,36740,2.64834671811207
"45-54",1973,38001,2.71229667012121
"45-54",1974,35465,2.60286540721323
"45-54",1975,35271,2.60695248075083
"45-54",1976,35901,2.64381868131868
"45-54",1977,37230,2.70389016018307
"45-54",1978,39316,2.92207284282572
"45-54",1979,41567,3.25503173655943
"45-54",1980,40201,3.11952338271735
"45-54",1981,37872,2.99033003994114
"45-54",1982,35840,2.87163820565043
"45-54",1983,36499,2.81713631385044
"45-54",1984,36865,2.76185241827566
"45-54",1985,36868,2.68685944363104
"45-54",1986,38802,2.6739430543572
"45-54",1987,37184,2.52926177256837
"45-54",1988,36584,2.46078901134004
"45-54",1989,35572,2.35579525098144
"45-54",1990,31918,2.17900413711584
"45-54",1991,31307,2.15827444596544
"45-54",1992,29248,2.03011305603494
"45-54",1993,29403,2.03096072931276
"45-54",1994,30603,2.04876627827279
"45-54",1995,29851,2.00790086774488
"45-54",1996,27975,1.9023611379911
"45-54",1997,27230,1.83228902405477
"45-54",1998,27249,1.80292895659605
"45-54",1999,28069,1.80802003569578
"45-54",2000,25765,1.72924627098016
"45-54",2001,24563,1.70308564231738
"45-54",2002,22521,1.62799063075121
"45-54",2003,22591,1.62679651517674
"45-54",2004,21211,1.59598201742062
"45-54",2005,22507,1.64777665851202
"45-54",2006,22687,1.64100245811319
"45-54",2007,20267,1.55670924323582
"45-54",2008,20597,1.61282356441535
"45-54",2009,19248,1.56310338774794
"45-54",2010,20888,1.64235192816286
"45-54",2011,19924,1.61453995866876
"45-54",2012,18609,1.56007343646542
"45-54",2013,20156,1.60632313569774
"45-54",2014,21230,1.64024849965319
"45-54",2015,20742,1.6035792230467
"45-54",2016,20299,1.58766139771872
"45-54",2017,19337,1.52310231023102
"45-54",2018,20178,1.53719184281987
"45-54",2019,20584,1.5077579614692
"55-64",1947,13876,2.43673638434458
"55-64",1948,14456,2.81448474959207
"55-64",1949,12858,2.36612834679133
"55-64",1950,14651,2.71677993906726
"55-64",1951,16128,2.93381294964029
"55-64",1952,15517,2.560909365255
"55-64",1953,17657,2.79568798942337
"55-64",1954,16659,2.67359855334539
"55-64",1955,18264,2.73661690596178
"55-64",1956,18150,2.61519978641986
"55-64",1957,18657,2.74283045305932
"55-64",1958,20509,2.99232562657859
"55-64",1959,21242,2.92793610455618
"55-64",1960,21772,3.03115962309917
"55-64",1961,23378,3.10612612612613
"55-64",1962,23251,2.87598838147491
"55-64",1963,22905,2.76273664768355
"55-64",1964,21903,2.58682895022821
"55-64",1965,22995,2.60020876826722
"55-64",1966,24472,2.59707629054363
"55-64",1967,25301,2.60285080772886
"55-64",1968,26742,2.6074777590767
"55-64",1969,27746,2.60799768183135
"55-64",1970,27881,2.60623343703192
"55-64",1971,27394,2.5751825656949
"55-64",1972,31200,2.7741385192767
"55-64",1973,31569,2.78396247739602
"55-64",1974,29773,2.752693236004
"55-64",1975,29202,2.72823578149967
"55-64",1976,30599,2.84231440785116
"55-64",1977,29711,2.7007842463793
"55-64",1978,33002,3.04587440332279
"55-64",1979,35055,3.42645531944348
"55-64",1980,32549,3.23060581140351
"55-64",1981,32454,3.23082210613143
"55-64",1982,30429,3.01810584958217
"55-64",1983,30759,3.0500533191149
"55-64",1984,29824,2.85611152601444
"55-64",1985,29730,2.82415020247883
"55-64",1986,30497,2.85122010440694
"55-64",1987,30962,2.90184275184275
"55-64",1988,29732,2.70344906611665
"55-64",1989,30471,2.6658101902471
"55-64",1990,29306,2.63876307107309
"55-64",1991,28560,2.57121637233867
"55-64",1992,27730,2.52782369146006
"55-64",1993,25001,2.32147576510386
"55-64",1994,27738,2.49153089207937
"55-64",1995,27739,2.34069598840019
"55-64",1996,26386,2.21734717416378
"55-64",1997,26738,2.16734337480899
"55-64",1998,28456,2.233516840782
"55-64",1999,27003,2.10041158971433
"55-64",2000,25709,2.02064393187502
"55-64",2001,25786,1.99949610450017
"55-64",2002,24386,1.89290029658379
"55-64",2003,25844,1.91060921038723
"55-64",2004,25081,1.88867235942317
"55-64",2005,24319,1.8376907443767
"55-64",2006,21978,1.71489444751651
"55-64",2007,20848,1.66767013610889
"55-64",2008,19333,1.63656119324355
"55-64",2009,19331,1.64445259367916
"55-64",2010,18539,1.61953615826761
"55-64",2011,17802,1.60282415089228
"55-64",2012,17283,1.58060939967078
"55-64",2013,21799,1.75324809951624
"55-64",2014,17762,1.61201846874785
"55-64",2015,20310,1.6751545774882
"55-64",2016,18269,1.57442460067916
"55-64",2017,20162,1.65463164388454
"55-64",2018,20714,1.66452792659844
"55-64",2019,20637,1.63561044720956
"65+",1947,4066,1.73499638467101
"65+",1948,3802,1.69430241051863
"65+",1949,4706,1.96891085031913
"65+",1950,4230,1.85696920583468
"65+",1951,4066,1.88046773495019
"65+",1952,5017,1.90674136996205
"65+",1953,4127,1.7452148790177
"65+",1954,4781,1.82701954679121
"65+",1955,5329,1.9098514597917
"65+",1956,5627,1.92549342105263
"65+",1957,5424,1.91761123329386
"65+",1958,5527,1.91749667994688
"65+",1959,5998,1.97750977835724
"65+",1960,6644,2.06833896124779
"65+",1961,6780,2.05854800936768
"65+",1962,7352,2.07611241217799
"65+",1963,7860,2.16634515506752
"65+",1964,7840,2.13953488372093
"65+",1965,8057,2.15050692560331
"65+",1966,7454,1.99267545611932
"65+",1967,7926,2.05161204723365
"65+",1968,8661,2.02303330970943
"65+",1969,8846,2.02419821697349
"65+",1970,9156,2.02096342551293
"65+",1971,9838,2.02159916926272
"65+",1972,10122,1.97261458633612
"65+",1973,10248,1.93768871808949
"65+",1974,10310,1.90153899965023
"65+",1975,9791,1.83726697451685
"65+",1976,10148,1.87960474993499
"65+",1977,9360,1.78424801005446
"65+",1978,9326,1.76511608827631
"65+",1979,8801,1.71038824763903
"65+",1980,9222,1.73669915321936
"65+",1981,9289,1.72923535876904
"65+",1982,9759,1.71264787498174
"65+",1983,10142,1.73996789727127
"65+",1984,10411,1.73586372632174
"65+",1985,10423,1.72664528722811
"65+",1986,11431,1.79669640367996
"65+",1987,10861,1.7295627057164
"65+",1988,11184,1.75567567567568
"65+",1989,10883,1.71214500719801
"65+",1990,11679,1.76313382122321
"65+",1991,11323,1.75325971261309
"65+",1992,11488,1.78378931568534
"65+",1993,11328,1.76287965519564
"65+",1994,10781,1.70385845792257
"65+",1995,11913,1.76204183458069
"65+",1996,11488,1.73316740059991
"65+",1997,12278,1.76584331337325
"65+",1998,12044,1.72936474292981
"65+",1999,12840,1.76124977767238
"65+",2000,12488,1.76099939061548
"65+",2001,12123,1.74029066927211
"65+",2002,11443,1.70401132029039
"65+",2003,11869,1.71911541956983
"65+",2004,12279,1.74913062046245
"65+",2005,12190,1.74342867597731
"65+",2006,12580,1.72754612226014
"65+",2007,12733,1.73469505510357
"65+",2008,13027,1.75170225043278
"65+",2009,12656,1.69332748986524
"65+",2010,12506,1.70539793558576
"65+",2011,14063,1.8036
"65+",2012,12909,1.72141499944115
"65+",2013,13728,1.71911995809324
"65+",2014,14911,1.79389841337451
"65+",2015,14160,1.71900071087641
"65+",2016,14104,1.72029007711557
"65+",2017,14052,1.70245950809838
"65+",2018,14087,1.67722705639152
"65+",2019,15106,1.69245931698373
"65-74",1987,13872,1.91977191353932
"65-74",1988,13929,1.92135203069189
"65-74",1989,13009,1.81987773366106
"65-74",1990,14798,1.94974648610487
"65-74",1991,13217,1.88508672068573
"65-74",1992,13604,1.92456164197363
"65-74",1993,13346,1.88343152181108
"65-74",1994,13303,1.88076006355932
"65-74",1995,15157,1.97768173901825
"65-74",1996,14566,1.92670823259957
"65-74",1997,15152,1.93773981928456
"65-74",1998,14590,1.88790165530672
"65-74",1999,16134,1.95478754882235
"65-74",2000,15718,1.96791674364185
"65-74",2001,15190,1.93684470210929
"65-74",2002,14268,1.88769986934611
"65-74",2003,15353,1.90738770685579
"65-74",2004,16181,1.97066586682663
"65-74",2005,15067,1.89418397626113
"65-74",2006,15500,1.86611533303532
"65-74",2007,16494,1.92398184975632
"65-74",2008,16857,1.95485442392659
"65-74",2009,15342,1.79735980458396
"65-74",2010,15529,1.82051146570855
"65-74",2011,16815,1.89598763787499
"65-74",2012,16204,1.84272935302684
"65-74",2013,14229,1.67136925544966
"65-74",2014,17205,1.83160133404224
"65-74",2015,17464,1.81691458508747
"65-74",2016,17119,1.79857256145916
"65-74",2017,16579,1.76832885346186
"65-74",2018,16686,1.74368231046931
"65-74",2019,17426,1.71330331559558
"75+",1987,6260,1.42654674298174
"75+",1988,6843,1.47297484102848
"75+",1989,6927,1.47036056223263
"75+",1990,7211,1.48034905409006
"75+",1991,8804,1.58196721311475
"75+",1992,8481,1.5808904109589
"75+",1993,8836,1.60462570138224
"75+",1994,7868,1.50735104462213
"75+",1995,7909,1.50203123016377
"75+",1996,7970,1.51014529859822
"75+",1997,8621,1.54128209957933
"75+",1998,9328,1.56270736562707
"75+",1999,9288,1.55141296604132
"75+",2000,9057,1.54758162031439
"75+",2001,8866,1.53746362754607
"75+",2002,8558,1.52208394338702
"75+",2003,8564,1.52828326445006
"75+",2004,9205,1.56813973583508
"75+",2005,9384,1.58177309361438
"75+",2006,9326,1.55157321977762
"75+",2007,8779,1.51854695806261
"75+",2008,8966,1.52386795208881
"75+",2009,9615,1.54711505633322
"75+",2010,8936,1.52835097262461
"75+",2011,10289,1.61903615907587
"75+",2012,9654,1.58016826923077
"75+",2013,10961,1.6317943397314
"75+",2014,10962,1.63533093775356
"75+",2015,10242,1.56918972990997
"75+",2016,10045,1.55617075466475
"75+",2017,11002,1.59325963871664
"75+",2018,11207,1.58290856132321
"75+",2019,11525,1.58729107215654
